Date,WeightP,WeightK
12/17/2020,180.999517253885,82.1000
12/18/2020,179.676743680775,81.5000
12/19/2020,178.57443236985,81.0000
12/20/2020,181.881366302625,82.5000
12/21/2020,181.881366302625,82.5000
12/22/2020,181.881366302625,82.5000
12/24/2020,180.7790549917,82.0000
12/25/2020,182.98367761355001,83.0000
12/27/2020,184.52691344884502,83.7000
12/28/2020,184.52691344884502,83.7000
12/29/2020,184.52691344884502,83.7000
12/30/2020,182.98367761355001,83.0000
12/31/2020,184.967837973215,83.9000
1/1/2021,184.967837973215,83.9000
1/2/2021,186.07014928414,84.4000
1/3/2021,184.967837973215,83.9000
1/4/2021,183.64506440010499,83.3000
1/5/2021,183.64506440010499,83.3000
1/6/2021,183.64506440010499,83.3000
1/7/2021,182.10182856480998,82.6000
1/8/2021,182.10182856480998,82.6000
1/9/2021,182.763215351365,82.9000
1/11/2021,183.86552666229002,83.4000
1/12/2021,183.204139875735,83.1000
1/14/2021,183.204139875735,83.1000
1/15/2021,183.204139875735,83.1000
1/16/2021,183.204139875735,83.1000
1/18/2021,185.1883002354,84.0000
1/19/2021,183.86552666229002,83.4000
1/20/2021,184.085988924475,83.5000
1/21/2021,184.74737571103,83.8000
1/22/2021,184.74737571103,83.8000
1/23/2021,182.98367761355001,83.0000
1/24/2021,184.085988924475,83.5000
1/25/2021,183.42460213792,83.2000
1/26/2021,183.42460213792,83.2000
1/27/2021,183.42460213792,83.2000
1/29/2021,184.52691344884502,83.7000
1/30/2021,182.763215351365,82.9000
1/31/2021,183.64506440010499,83.3000
2/1/2021,184.52691344884502,83.7000
2/2/2021,184.52691344884502,83.7000
2/3/2021,183.42460213792,83.2000
2/4/2021,183.42460213792,83.2000
2/5/2021,183.42460213792,83.2000
2/6/2021,182.54275308918,82.8000
2/7/2021,181.881366302625,82.5000
2/8/2021,184.085988924475,83.5000
2/10/2021,184.085988924475,83.5000
2/11/2021,183.204139875735,83.1000
2/12/2021,182.32229082699502,82.7000
2/13/2021,184.085988924475,83.5000
2/16/2021,184.74737571103,83.8000
2/17/2021,184.74737571103,83.8000
2/19/2021,184.085988924475,83.5000
2/20/2021,185.1883002354,84.0000
2/21/2021,187.61338511943498,85.1000
2/24/2021,186.290611546325,84.5000
2/25/2021,185.62922475977,84.2000
2/26/2021,185.62922475977,84.2000
3/2/2021,184.085988924475,83.5000
3/3/2021,183.42460213792,83.2000
3/4/2021,183.42460213792,83.2000
3/5/2021,184.30645118665998,83.6000
3/6/2021,182.32229082699502,82.7000
3/8/2021,184.74737571103,83.8000
3/9/2021,183.86552666229002,83.4000
3/11/2021,183.204139875735,83.1000
3/13/2021,182.32229082699502,82.7000
3/17/2021,186.07014928414,84.4000
3/18/2021,183.42460213792,83.2000
3/20/2021,183.204139875735,83.1000
3/21/2021,183.204139875735,83.1000
3/22/2021,183.204139875735,83.1000
3/23/2021,182.54275308918,82.8000
3/26/2021,182.98367761355001,83.0000
3/28/2021,182.10182856480998,82.6000
3/31/2021,181.66090404044002,82.4000
4/1/2021,181.66090404044002,82.4000
4/2/2021,181.66090404044002,82.4000
4/3/2021,181.66090404044002,82.4000
4/5/2021,185.849687021955,84.3000
4/6/2021,185.408762497585,84.1000
4/7/2021,184.74737571103,83.8000
4/9/2021,185.408762497585,84.1000
4/10/2021,183.86552666229002,83.4000
4/11/2021,184.967837973215,83.9000
4/13/2021,186.51107380851,84.6000
4/14/2021,184.74737571103,83.8000
4/16/2021,184.967837973215,83.9000
4/17/2021,184.52691344884502,83.7000
4/19/2021,186.07014928414,84.4000
4/21/2021,186.07014928414,84.4000
4/24/2021,185.1883002354,84.0000
4/27/2021,185.849687021955,84.3000
4/28/2021,187.17246059506502,84.9000
4/29/2021,186.51107380851,84.6000
5/1/2021,186.290611546325,84.5000
5/2/2021,187.17246059506502,84.9000
5/4/2021,187.39292285725,85.0000
5/6/2021,186.07014928414,84.4000
5/12/2021,187.39292285725,85.0000
5/13/2021,186.51107380851,84.6000
5/14/2021,185.62922475977,84.2000
5/15/2021,187.39292285725,85.0000
5/17/2021,188.054309643805,85.3000
5/18/2021,188.054309643805,85.3000
5/19/2021,186.731536070695,84.7000
5/24/2021,190.699856790025,86.5000
5/25/2021,188.71569643036,85.6000
5/28/2021,188.054309643805,85.3000
5/31/2021,192.68401714969002,87.4000
6/1/2021,189.15662095473,85.8000
6/4/2021,188.936158692545,85.7000
6/5/2021,189.15662095473,85.8000
6/8/2021,187.39292285725,85.0000
6/13/2021,188.71569643036,85.6000
6/15/2021,189.15662095473,85.8000
6/17/2021,187.83384738162002,85.2000
6/22/2021,187.83384738162002,85.2000
7/5/2021,191.581705838765,86.9000
7/7/2021,190.699856790025,86.5000
7/14/2021,190.03847000347,86.2000
7/15/2021,188.054309643805,85.3000
7/17/2021,189.818007741285,86.1000
7/27/2021,188.27477190599,85.4000
8/4/2021,193.12494167405998,87.6000
8/6/2021,192.68401714969002,87.4000
8/9/2021,192.46355488750498,87.3000
8/19/2021,193.56586619843,87.8000
9/11/2021,196.43187560683498,89.1000
9/13/2021,195.550026558095,88.7000
9/16/2021,197.97511144213,89.8000
9/17/2021,195.109102033725,88.5000
9/20/2021,198.19557370431502,89.9000
9/28/2021,196.43187560683498,89.1000
11/15/2021,204.368517045495,92.7000
11/22/2021,203.927592521125,92.5000
3/22/2022,213.187007532895,96.7000
3/23/2022,213.187007532895,96.7000
4/5/2022,211.864233959785,96.1000
5/25/2022,212.52562074634002,96.4000
5/28/2022,210.541460386675,95.5000
6/2/2022,212.08469622197,96.2000
6/6/2022,211.64377169760002,96.0000
6/7/2022,210.76192264885998,95.6000
6/8/2022,210.76192264885998,95.6000
6/11/2022,209.43914907575,95.0000
6/15/2022,209.218686813565,94.9000
6/21/2022,210.541460386675,95.5000
6/22/2022,209.659611337935,95.1000
6/23/2022,208.99822455138,94.8000
6/27/2022,208.336837764825,94.5000
6/28/2022,209.659611337935,95.1000
7/2/2022,207.2345264539,94.0000
7/3/2022,206.573139667345,93.7000
7/4/2022,208.336837764825,94.5000
7/6/2022,205.91175288079,93.4000
7/10/2022,206.132215142975,93.5000
7/12/2022,205.47082835642001,93.2000
7/15/2022,205.25036609423498,93.1000
7/20/2022,204.14805478331,92.6000
7/21/2022,204.14805478331,92.6000
7/23/2022,205.02990383205,93.0000
8/4/2022,205.47082835642001,93.2000
8/5/2022,203.927592521125,92.5000
8/8/2022,207.2345264539,94.0000
8/9/2022,206.573139667345,93.7000
8/10/2022,206.573139667345,93.7000
9/8/2022,210.32099812449002,95.4000
9/11/2022,208.55730002701,94.6000
9/12/2022,210.98238491104502,95.7000
9/15/2022,211.423309435415,95.9000
9/16/2022,209.218686813565,94.9000
